nome,duplicado_geral,duplicado_raiz,quantidade_geral,quantidade_raiz,licenca_SPDX,license_score_geral,license_score_raiz,licencas_compativeis_geral,licencas_compativeis_raiz,licencas_readme,licencas_packageJson,licencas_license,licencas_outros_arquivos,licencas_fora_da_raiz,numero_linhas
/[defunkt]jquery-pjax/,True,False,2,1,2,66.0,100.0,True,True,0,1,1,1,2,24446
/[less]less.js/,True,True,5,2,4,14.71,16.0,False,False,2,1,1,0,4,64408
/[zeit]hyper/,True,False,236,1,231,5.0,100.0,False,True,0,1,1,0,236,112536
/[hexojs]hexo/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,0,0,19157
/[Reactive-Extensions]RxJS/,True,True,7,3,3,11.0,11.0,False,False,2,1,1,2,7,274167
/[ajaxorg]ace/,True,True,25,5,19,5.0,11.0,False,False,1,4,1,2,24,272283
/[GitbookIO]gitbook/,False,False,1,1,1,64.71,64.71,True,True,1,1,1,0,0,10815
/[serverless]serverless/,True,False,4,1,4,5.0,100.0,False,True,1,1,1,0,4,107517
/[request]request/,False,False,1,1,1,95.0,95.0,True,True,0,1,1,1,0,11907
/[angular-ui]bootstrap/,True,False,6,1,4,11.0,99.39,False,True,0,1,1,0,6,29042
/[Kickball]awesome-selfhosted/,True,True,43,43,42,5.0,5.0,False,False,42,0,1,2,1,2182
/[twitter]typeahead.js/,False,False,1,1,1,90.0,90.0,True,True,1,0,1,1,1,13028
/[petkaantonov]bluebird/,True,False,2,1,2,50.0,100.0,False,True,1,1,1,1,2,49122
/[koajs]koa/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,0,0,6653
/[pugjs]pug/,False,False,1,1,1,100.0,100.0,True,True,1,1,0,0,1,19427
/[aosabook]500lines/,True,True,15,2,11,4.95,99.76,False,True,2,0,2,0,15,57031
/[postcss]postcss/,False,False,1,1,1,100.0,100.0,True,True,0,1,1,0,0,9052
/[facebook]flux/,True,True,5,5,2,11.0,11.0,False,False,2,1,1,4,3,10015
/[dimsemenov]PhotoSwipe/,False,False,1,1,1,99.0,100.0,True,True,1,1,1,1,1,10883
/[pixijs]pixi.js/,True,True,4,2,4,16.13,16.13,False,False,1,0,1,1,3,47576
/[kriskowal]q/,True,True,2,2,2,95.51,95.51,True,True,1,1,1,2,1,9181
/[rstacruz]nprogress/,False,False,1,1,1,100.0,100.0,True,True,1,1,1,1,0,1143
/[designmodo]Flat-UI/,True,True,10,4,8,4.95,11.0,False,False,4,0,3,0,7,59347
/[lord]slate/,True,True,3,2,3,50.0,50.0,True,True,0,0,1,1,2,10029
/[angular]angular-seed/,False,False,1,1,1,100.0,100.0,True,True,0,1,1,0,1,5255
/[kriasoft]react-starter-kit/,True,True,3,3,2,16.0,16.0,False,False,3,0,1,1,1,4873
